id;placed_date;status;code;invoice_id;customer_id
1;2019-10-23T02:43:39;COMPLETED;Brunei Darussalam interface;compress lavender Investment Account;1
2;2019-10-23T07:33:22;CANCELLED;Frozen Analyst card;redundant;2
3;2019-10-23T03:06:16;PENDING;Chips;navigating;3
4;2019-10-22T16:54:05;CANCELLED;Optimized;microchip;4
5;2019-10-22T17:45:36;COMPLETED;e-markets system;Organic;5
6;2019-10-23T01:03:40;CANCELLED;leading-edge;Ergonomic Steel Gloves;6
7;2019-10-22T13:04:25;COMPLETED;online e-business;systems integrate;7
8;2019-10-22T18:49:27;PENDING;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;8
9;2019-10-22T19:32:46;COMPLETED;North Carolina Granite;Somalia Web revolutionize;9
10;2019-10-22T10:32:10;PENDING;yellow;Books Generic;10
